,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
1253,"[-6, -11, -6, 12, 15]","[7, -6, -9, 12, -10]","[-2, -7, -2, 16, 19]","[11, -2, -5, 16, -6]","[-6, -11, -6, 15]","[7, -6, -9, -10]","[4, -6, -11, -6, 12, 15]","[4, 7, -6, -9, 12, -10]","[-0.16666666666666666, -0.09090909090909091, -0.16666666666666666, 0.08333333333333333, 0.06666666666666667]","[0.14285714285714285, -0.16666666666666666, -0.1111111111111111, 0.08333333333333333, -0.1]","[-24, -44, -24, 48, 60]","[28, -24, -36, 48, -40]","[12, 15, -11, -6, -6]","[-9, -10, 7, 12, -6]","[-6, -11, -9, 12, -10]","[-9, -10, -11, -6, -6]","[-2, -7, -5, 16, -6]","[-24, -44, -36, 48, -40]","[-0.16666666666666666, -0.16666666666666666, -0.16666666666666666, 0.08333333333333333, -0.1]","[4, -6, -11, -9, 12, -10]","[-6, -11, -9, -10]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
1254,"[15, 9, 8, -3, 18, 6, 6]","[-10, -3, -8, 9, 9, 0, -1]","[19, 13, 12, 1, 22, 10, 10]","[-6, 1, -4, 13, 13, 4, 3]","[15, 9, -3, 18, 6, 6]","[-10, -3, 9, 9, 0, -1]","[15, 9, 8, -3, 4, 18, 6, 6]","[-10, -3, -8, 9, 4, 9, 0, -1]","[0.06666666666666667, 0.1111111111111111, 0.125, -0.3333333333333333, 0.05555555555555555, 0.16666666666666666, 0.16666666666666666]","[-0.1, -0.3333333333333333, -0.125, 0.1111111111111111, 0.1111111111111111, 'ZeroDivisionError', -1.0]","[60, 36, 32, -12, 72, 24, 24]","[-40, -12, -32, 36, 36, 0, -4]","[8, 6, 15, 18, 6, -3, 9]","[-8, 0, 9, -1, -10, -3, 9]","[-10, -3, -8, -3, 9, 0, -1]","[-8, 0, 9, -1, -10, -3, 9]","[-6, 1, -4, 1, 13, 4, 3]","[-40, -12, -32, -12, 36, 0, -4]",error,"[-10, -3, -8, -3, 4, 9, 0, -1]","[-10, -3, -3, 9, 0, -1]",No-violate,No-violate,Violate,error,No-violate,No-violate,0,0,1,error,0,0
1255,"[-11, -10, 3, 6]","[5, -6, -10, -7]","[-7, -6, 7, 10]","[9, -2, -6, -3]","[-11, -10, 6]","[5, -6, -7]","[-11, 4, -10, 3, 6]","[5, 4, -6, -10, -7]","[-0.09090909090909091, -0.1, 0.3333333333333333, 0.16666666666666666]","[0.2, -0.16666666666666666, -0.1, -0.14285714285714285]","[-44, -40, 12, 24]","[20, -24, -40, -28]","[-11, 3, 6, -10]","[-7, -10, 5, -6]","[-11, -10, -10, -7]","[-11, -10, 5, -10]","[-7, -6, -6, -3]","[-44, -40, -40, -28]","[-0.09090909090909091, -0.16666666666666666, -0.1, -0.14285714285714285]","[-11, 4, -10, -10, -7]","[-11, -10, -7]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
1256,"[9, -7, -2, -5, -1, 8, 7, 7, 1]","[-6, -8, -4, -3, 0, 5, -5, 7, 7]","[13, -3, 2, -1, 3, 12, 11, 11, 5]","[-2, -4, 0, 1, 4, 9, -1, 11, 11]","[9, -7, -5, -1, 8, 7, 7, 1]","[-6, -8, -3, 0, 5, -5, 7, 7]","[9, -7, -2, -5, 4, -1, 8, 7, 7, 1]","[-6, -8, -4, -3, 4, 0, 5, -5, 7, 7]","[0.1111111111111111, -0.14285714285714285, -0.5, -0.2, -1.0, 0.125, 0.14285714285714285, 0.14285714285714285, 1.0]","[-0.16666666666666666, -0.125, -0.25, -0.3333333333333333, 'ZeroDivisionError', 0.2, -0.2, 0.14285714285714285, 0.14285714285714285]","[36, -28, -8, -20, -4, 32, 28, 28, 4]","[-24, -32, -16, -12, 0, 20, -20, 28, 28]","[8, -7, -2, 9, 7, 7, -1, 1, -5]","[0, -5, -6, -3, -8, 7, 5, -4, 7]","[-6, -8, -4, -5, -1, 5, -5, 7, 1]","[0, -7, -6, -3, -8, 7, -1, -4, -5]","[-2, -4, 0, -1, 3, 9, -1, 11, 5]","[-24, -32, -16, -20, -4, 20, -20, 28, 4]",error,"[-6, -8, -4, -5, 4, -1, 5, -5, 7, 1]","[-6, -8, -5, -1, 5, -5, 7, 1]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1257,"[-4, 1, -7]","[-11, 4, 1]","[0, 5, -3]","[-7, 8, 5]","[1, -7]","[4, 1]","[-4, 1, 4, -7]","[-11, 4, 4, 1]","[-0.25, 1.0, -0.14285714285714285]","[-0.09090909090909091, 0.25, 1.0]","[-16, 4, -28]","[-44, 16, 4]","[-4, -7, 1]","[4, 1, -11]","[-11, 1, -7]","[-4, -7, -11]","[-7, 5, -3]","[-44, 4, -28]","[-0.25, 0.25, -0.14285714285714285]","[-11, 1, 4, -7]","[1, -7]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
1258,"[-1, -8, -9, -2, 7, 4, 1, -7, 0, 2]","[-10, 0, -1, 4, -5, 1, -11, 4, 0, -12]","[3, -4, -5, 2, 11, 8, 5, -3, 4, 6]","[-6, 4, 3, 8, -1, 5, -7, 8, 4, -8]","[-1, -8, -9, -2, 7, 4, 1, -7, 2]","[-10, 0, -1, 4, -5, 1, -11, 4, -12]","[-1, -8, -9, -2, 7, 4, 4, 1, -7, 0, 2]","[-10, 0, -1, 4, -5, 4, 1, -11, 4, 0, -12]","[-1.0, -0.125, -0.1111111111111111, -0.5, 0.14285714285714285, 0.25, 1.0, -0.14285714285714285, 'ZeroDivisionError', 0.5]","[-0.1, 'ZeroDivisionError', -1.0, 0.25, -0.2, 1.0, -0.09090909090909091, 0.25, 'ZeroDivisionError', -0.08333333333333333]","[-4, -32, -36, -8, 28, 16, 4, -28, 0, 8]","[-40, 0, -4, 16, -20, 4, -44, 16, 0, -48]","[-9, 7, -7, -1, 1, -2, 0, -8, 4, 2]","[1, 0, -5, -12, -11, 4, 4, -1, -10, 0]","[-10, -8, -9, -2, -5, 1, -11, -7, 0, -12]","[-9, 0, -7, -12, -11, -2, 0, -8, -10, 0]","[-6, -4, -5, 2, -1, 5, -7, -3, 4, -8]","[-40, -32, -36, -8, -20, 4, -44, -28, 0, -48]",error,"[-10, -8, -9, -2, -5, 4, 1, -11, -7, 0, -12]","[-10, -8, -9, -2, -5, 1, -11, -7, -12]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1259,"[-10, 8, 9, 0, -12, 8, -9]","[0, 7, -8, -5, -12, -7, 7]","[-6, 12, 13, 4, -8, 12, -5]","[4, 11, -4, -1, -8, -3, 11]","[8, 9, 0, -12, 8, -9]","[7, -8, -5, -12, -7, 7]","[-10, 8, 9, 0, 4, -12, 8, -9]","[0, 7, -8, -5, 4, -12, -7, 7]","[-0.1, 0.125, 0.1111111111111111, 'ZeroDivisionError', -0.08333333333333333, 0.125, -0.1111111111111111]","['ZeroDivisionError', 0.14285714285714285, -0.125, -0.2, -0.08333333333333333, -0.14285714285714285, 0.14285714285714285]","[-40, 32, 36, 0, -48, 32, -36]","[0, 28, -32, -20, -48, -28, 28]","[9, 0, 8, 8, -9, -10, -12]","[0, -8, -12, 7, -7, 7, -5]","[-10, 7, -8, -5, -12, -7, -9]","[0, -8, -12, 7, -9, -10, -12]","[-6, 11, -4, -1, -8, -3, -5]","[-40, 28, -32, -20, -48, -28, -36]",error,"[-10, 7, -8, -5, 4, -12, -7, -9]","[7, -8, -5, -12, -7, -9]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1260,"[-3, -4, -5, 6, -2]","[3, -2, 7, 6, -5]","[1, 0, -1, 10, 2]","[7, 2, 11, 10, -1]","[-3, -4, -5, 6]","[3, -2, 7, 6]","[-3, -4, -5, 6, -2, 4]","[3, -2, 7, 6, -5, 4]","[-0.3333333333333333, -0.25, -0.2, 0.16666666666666666, -0.5]","[0.3333333333333333, -0.5, 0.14285714285714285, 0.16666666666666666, -0.2]","[-12, -16, -20, 24, -8]","[12, -8, 28, 24, -20]","[6, -5, -2, -3, -4]","[3, -5, 7, -2, 6]","[-3, -4, -5, 6, -5]","[3, -5, -2, -3, -4]","[1, 0, -1, 10, -1]","[-12, -16, -20, 24, -20]","[-0.3333333333333333, -0.5, -0.2, 0.16666666666666666, -0.5]","[-3, -4, -5, 6, -5, 4]","[-3, -4, -5, 6]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
1261,"[-4, 0, -5, 8, -6]","[-1, -4, -7, -2, -7]","[0, 4, -1, 12, -2]","[3, 0, -3, 2, -3]","[-4, 0, 8, -6]","[-1, -4, -2, -7]","[-4, 0, -5, 8, -6, 4]","[-1, -4, -7, -2, -7, 4]","[-0.25, 'ZeroDivisionError', -0.2, 0.125, -0.16666666666666666]","[-1.0, -0.25, -0.14285714285714285, -0.5, -0.14285714285714285]","[-16, 0, -20, 32, -24]","[-4, -16, -28, -8, -28]","[-5, -6, 0, -4, 8]","[-7, -2, -7, -4, -1]","[-4, -4, -7, -2, -7]","[-7, -6, -7, -4, -1]","[0, 0, -3, 2, -3]","[-16, -16, -28, -8, -28]",error,"[-4, -4, -7, -2, -7, 4]","[-4, -4, -2, -7]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1262,"[0, 2, -5, 3, -1, 5, 2, 2, -2, 5, 5]","[1, 0, -5, 6, -3, -5, 3, -4, -2, -1, -4]","[4, 6, -1, 7, 3, 9, 6, 6, 2, 9, 9]","[5, 4, -1, 10, 1, -1, 7, 0, 2, 3, 0]","[2, -5, 3, -1, 5, 2, 2, -2, 5, 5]","[0, -5, 6, -3, -5, 3, -4, -2, -1, -4]","[0, 2, -5, 3, 4, -1, 5, 2, 2, -2, 5, 5]","[1, 0, -5, 6, 4, -3, -5, 3, -4, -2, -1, -4]","['ZeroDivisionError', 0.5, -0.2, 0.3333333333333333, -1.0, 0.2, 0.5, 0.5, -0.5, 0.2, 0.2]","[1.0, 'ZeroDivisionError', -0.2, 0.16666666666666666, -0.3333333333333333, -0.2, 0.3333333333333333, -0.25, -0.5, -1.0, -0.25]","[0, 8, -20, 12, -4, 20, 8, 8, -8, 20, 20]","[4, 0, -20, 24, -12, -20, 12, -16, -8, -4, -16]","[5, -1, 2, -2, 3, 0, 2, 5, 5, 2, -5]","[-2, 3, -4, 0, 6, -1, 1, -5, -3, -5, -4]","[0, 0, -5, 3, -3, -5, 2, -4, -2, -1, -4]","[-2, -1, -4, -2, 3, -1, 1, -5, -3, -5, -5]","[4, 4, -1, 7, 1, -1, 6, 0, 2, 3, 0]","[0, 0, -20, 12, -12, -20, 8, -16, -8, -4, -16]",error,"[0, 0, -5, 3, 4, -3, -5, 2, -4, -2, -1, -4]","[0, -5, 3, -3, -5, 2, -4, -2, -1, -4]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1263,"[-5, -8, 3, 1, 6, -8, 4, 1, -15, -13, -1, 6, 5]","[9, 7, -14, -11, -10, 7, -4, -17, -9, 8, -3, -3, -16]","[-1, -4, 7, 5, 10, -4, 8, 5, -11, -9, 3, 10, 9]","[13, 11, -10, -7, -6, 11, 0, -13, -5, 12, 1, 1, -12]","[-5, -8, 3, 1, 6, 4, 1, -15, -13, -1, 6, 5]","[9, 7, -14, -11, -10, -4, -17, -9, 8, -3, -3, -16]","[-5, -8, 3, 1, 6, -8, 4, 4, 1, -15, -13, -1, 6, 5]","[9, 7, -14, -11, -10, 7, 4, -4, -17, -9, 8, -3, -3, -16]","[-0.2, -0.125, 0.3333333333333333, 1.0, 0.16666666666666666, -0.125, 0.25, 1.0, -0.06666666666666667, -0.07692307692307693, -1.0, 0.16666666666666666, 0.2]","[0.1111111111111111, 0.14285714285714285, -0.07142857142857142, -0.09090909090909091, -0.1, 0.14285714285714285, -0.25, -0.058823529411764705, -0.1111111111111111, 0.125, -0.3333333333333333, -0.3333333333333333, -0.0625]","[-20, -32, 12, 4, 24, -32, 16, 4, -60, -52, -4, 24, 20]","[36, 28, -56, -44, -40, 28, -16, -68, -36, 32, -12, -12, -64]","[5, -13, 1, -1, 6, 3, 6, -8, 4, -15, -8, -5, 1]","[-16, -11, -4, 7, -3, -10, -3, 7, -14, -17, -9, 8, 9]","[-5, -8, -14, -11, -10, -8, -4, -17, -15, -13, -3, -3, -16]","[-16, -13, -4, -1, -3, -10, -3, -8, -14, -17, -9, -5, 1]","[-1, -4, -10, -7, -6, -4, 0, -13, -11, -9, 1, 1, -12]","[-20, -32, -56, -44, -40, -32, -16, -68, -60, -52, -12, -12, -64]","[-0.2, -0.125, -0.07142857142857142, -0.09090909090909091, -0.1, -0.125, -0.25, -0.058823529411764705, -0.1111111111111111, -0.07692307692307693, -1.0, -0.3333333333333333, -0.0625]","[-5, -8, -14, -11, -10, -8, 4, -4, -17, -15, -13, -3, -3, -16]","[-5, -8, -14, -11, -10, -4, -17, -15, -13, -3, -3, -16]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
1264,"[17, 16, -5, 16, 16, 10, 11, 7]","[1, -4, 14, 10, 18, 12, -3, 8]","[21, 20, -1, 20, 20, 14, 15, 11]","[5, 0, 18, 14, 22, 16, 1, 12]","[17, 16, -5, 16, 10, 11, 7]","[1, -4, 14, 18, 12, -3, 8]","[17, 16, -5, 16, 4, 16, 10, 11, 7]","[1, -4, 14, 10, 4, 18, 12, -3, 8]","[0.058823529411764705, 0.0625, -0.2, 0.0625, 0.0625, 0.1, 0.09090909090909091, 0.14285714285714285]","[1.0, -0.25, 0.07142857142857142, 0.1, 0.05555555555555555, 0.08333333333333333, -0.3333333333333333, 0.125]","[68, 64, -20, 64, 64, 40, 44, 28]","[4, -16, 56, 40, 72, 48, -12, 32]","[17, 16, 10, 7, -5, 16, 16, 11]","[8, 10, -3, 1, 12, 14, -4, 18]","[1, -4, -5, 10, 16, 10, -3, 7]","[8, 10, -3, 1, -5, 14, -4, 11]","[5, 0, -1, 14, 20, 14, 1, 11]","[4, -16, -20, 40, 64, 40, -12, 28]","[0.058823529411764705, -0.25, -0.2, 0.0625, 0.05555555555555555, 0.08333333333333333, -0.3333333333333333, 0.125]","[1, -4, -5, 10, 4, 16, 10, -3, 7]","[1, -4, -5, 16, 10, -3, 7]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
1265,"[2, -3, 8, 3, 6, 7, 6, -5, -5]","[7, -2, 10, -9, -6, -4, -6, 2, -2]","[6, 1, 12, 7, 10, 11, 10, -1, -1]","[11, 2, 14, -5, -2, 0, -2, 6, 2]","[2, -3, 8, 3, 7, 6, -5, -5]","[7, -2, 10, -9, -4, -6, 2, -2]","[2, -3, 8, 3, 6, 7, 6, 4, -5, -5]","[7, -2, 10, -9, -6, -4, -6, 4, 2, -2]","[0.5, -0.3333333333333333, 0.125, 0.3333333333333333, 0.16666666666666666, 0.14285714285714285, 0.16666666666666666, -0.2, -0.2]","[0.14285714285714285, -0.5, 0.1, -0.1111111111111111, -0.16666666666666666, -0.25, -0.16666666666666666, 0.5, -0.5]","[8, -12, 32, 12, 24, 28, 24, -20, -20]","[28, -8, 40, -36, -24, -16, -24, 8, -8]","[-5, 8, 2, -5, 6, 3, 7, 6, -3]","[-4, 10, -6, 2, -2, -6, -9, -2, 7]","[2, -3, 8, -9, -6, -4, -6, -5, -5]","[-5, 8, -6, -5, -2, -6, -9, -2, -3]","[6, 1, 12, -5, -2, 0, -2, -1, -1]","[8, -12, 32, -36, -24, -16, -24, -20, -20]","[0.14285714285714285, -0.5, 0.1, -0.1111111111111111, -0.16666666666666666, -0.25, -0.16666666666666666, -0.2, -0.5]","[2, -3, 8, -9, -6, -4, -6, 4, -5, -5]","[2, -3, 8, -9, -4, -6, -5, -5]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
1266,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],[4],[],No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
1267,"[9, 0, -12, 5, -14, 5, -12, -7, -13, 9, 14, -6]","[13, 10, 5, -8, -3, -7, 7, -8, 4, -4, 12, 0]","[13, 4, -8, 9, -10, 9, -8, -3, -9, 13, 18, -2]","[17, 14, 9, -4, 1, -3, 11, -4, 8, 0, 16, 4]","[9, 0, -12, 5, -14, 5, -12, -7, 9, 14, -6]","[13, 10, 5, -8, -3, -7, 7, -8, -4, 12, 0]","[9, 0, -12, 5, -14, 5, -12, 4, -7, -13, 9, 14, -6]","[13, 10, 5, -8, -3, -7, 7, 4, -8, 4, -4, 12, 0]","[0.1111111111111111, 'ZeroDivisionError', -0.08333333333333333, 0.2, -0.07142857142857142, 0.2, -0.08333333333333333, -0.14285714285714285, -0.07692307692307693, 0.1111111111111111, 0.07142857142857142, -0.16666666666666666]","[0.07692307692307693, 0.1, 0.2, -0.125, -0.3333333333333333, -0.14285714285714285, 0.14285714285714285, -0.125, 0.25, -0.25, 0.08333333333333333, 'ZeroDivisionError']","[36, 0, -48, 20, -56, 20, -48, -28, -52, 36, 56, -24]","[52, 40, 20, -32, -12, -28, 28, -32, 16, -16, 48, 0]","[0, -12, -14, 14, -6, 9, 5, -7, -12, -13, 9, 5]","[10, -8, 13, 0, 5, -7, 12, -4, -8, -3, 4, 7]","[9, 0, -12, -8, -14, -7, -12, -8, -13, -4, 12, -6]","[0, -12, -14, 0, -6, -7, 5, -7, -12, -13, 4, 5]","[13, 4, -8, -4, -10, -3, -8, -4, -9, 0, 16, -2]","[36, 0, -48, -32, -56, -28, -48, -32, -52, -16, 48, -24]",error,"[9, 0, -12, -8, -14, -7, -12, 4, -8, -13, -4, 12, -6]","[9, 0, -12, -8, -14, -7, -12, -8, -4, 12, -6]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1268,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],[4],[],No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
1269,"[12, -14, 13, -15, -2, -15, -8]","[-15, 0, 4, 1, -14, 10, -8]","[16, -10, 17, -11, 2, -11, -4]","[-11, 4, 8, 5, -10, 14, -4]","[12, -14, 13, -15, -15, -8]","[-15, 0, 4, 1, 10, -8]","[12, -14, 13, -15, 4, -2, -15, -8]","[-15, 0, 4, 1, 4, -14, 10, -8]","[0.08333333333333333, -0.07142857142857142, 0.07692307692307693, -0.06666666666666667, -0.5, -0.06666666666666667, -0.125]","[-0.06666666666666667, 'ZeroDivisionError', 0.25, 1.0, -0.07142857142857142, 0.1, -0.125]","[48, -56, 52, -60, -8, -60, -32]","[-60, 0, 16, 4, -56, 40, -32]","[-15, 13, -14, -8, -2, 12, -15]","[4, 1, 0, -8, -15, -14, 10]","[-15, -14, 4, -15, -14, -15, -8]","[-15, 1, -14, -8, -15, -14, -15]","[-11, -10, 8, -11, -10, -11, -4]","[-60, -56, 16, -60, -56, -60, -32]",error,"[-15, -14, 4, -15, 4, -14, -15, -8]","[-15, -14, 4, -15, -15, -8]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1270,"[11, 10, 0, 7]","[-5, 10, -6, -1]","[15, 14, 4, 11]","[-1, 14, -2, 3]","[11, 10, 7]","[-5, 10, -1]","[11, 10, 0, 7, 4]","[-5, 10, -6, -1, 4]","[0.09090909090909091, 0.1, 'ZeroDivisionError', 0.14285714285714285]","[-0.2, 0.1, -0.16666666666666666, -1.0]","[44, 40, 0, 28]","[-20, 40, -24, -4]","[7, 11, 10, 0]","[-1, 10, -6, -5]","[-5, 10, -6, -1]","[-1, 10, -6, -5]","[-1, 14, -2, 3]","[-20, 40, -24, -4]",error,"[-5, 10, -6, -1, 4]","[-5, 10, -1]",No-violate,No-violate,Violate,error,No-violate,No-violate,0,0,1,error,0,0
1271,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],[4],[],No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
1272,"[-10, -12, -4, -12]","[-7, -11, 1, -2]","[-6, -8, 0, -8]","[-3, -7, 5, 2]","[-10, -12, -4]","[-7, -11, 1]","[-10, -12, -4, 4, -12]","[-7, -11, 1, 4, -2]","[-0.1, -0.08333333333333333, -0.25, -0.08333333333333333]","[-0.14285714285714285, -0.09090909090909091, 1.0, -0.5]","[-40, -48, -16, -48]","[-28, -44, 4, -8]","[-12, -4, -10, -12]","[-2, -11, 1, -7]","[-10, -12, -4, -12]","[-12, -11, -10, -12]","[-6, -8, 0, -8]","[-40, -48, -16, -48]","[-0.14285714285714285, -0.09090909090909091, -0.25, -0.5]","[-10, -12, -4, 4, -12]","[-10, -12, -4]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
1273,"[-6, -5, -8, 4, 0, -4, -3, 7, 5, -8]","[1, 7, -6, 4, -5, 1, -8, 6, 2, 10]","[-2, -1, -4, 8, 4, 0, 1, 11, 9, -4]","[5, 11, -2, 8, -1, 5, -4, 10, 6, 14]","[-6, -5, -8, 4, 0, -3, 7, 5, -8]","[1, 7, -6, 4, -5, -8, 6, 2, 10]","[-6, -5, -8, 4, 0, -4, -3, 7, 5, 4, -8]","[1, 7, -6, 4, -5, 1, -8, 6, 2, 4, 10]","[-0.16666666666666666, -0.2, -0.125, 0.25, 'ZeroDivisionError', -0.25, -0.3333333333333333, 0.14285714285714285, 0.2, -0.125]","[1.0, 0.14285714285714285, -0.16666666666666666, 0.25, -0.2, 1.0, -0.125, 0.16666666666666666, 0.5, 0.1]","[-24, -20, -32, 16, 0, -16, -12, 28, 20, -32]","[4, 28, -24, 16, -20, 4, -32, 24, 8, 40]","[-5, -6, -8, 0, 4, -4, -3, 5, -8, 7]","[-5, 4, -8, 1, 10, 2, 6, -6, 7, 1]","[-6, -5, -8, 4, -5, -4, -8, 6, 2, -8]","[-5, -6, -8, 0, 4, -4, -3, -6, -8, 1]","[-2, -1, -4, 8, -1, 0, -4, 10, 6, -4]","[-24, -20, -32, 16, -20, -16, -32, 24, 8, -32]",error,"[-6, -5, -8, 4, -5, -4, -8, 6, 2, 4, -8]","[-6, -5, -8, 4, -5, -8, 6, 2, -8]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1274,"[16, 13, 7, 12, 12, 8, 13, -2]","[-2, 11, -2, 6, -5, -5, 9, 15]","[20, 17, 11, 16, 16, 12, 17, 2]","[2, 15, 2, 10, -1, -1, 13, 19]","[13, 7, 12, 12, 8, 13, -2]","[11, -2, 6, -5, -5, 9, 15]","[16, 13, 7, 12, 12, 8, 4, 13, -2]","[-2, 11, -2, 6, -5, -5, 4, 9, 15]","[0.0625, 0.07692307692307693, 0.14285714285714285, 0.08333333333333333, 0.08333333333333333, 0.125, 0.07692307692307693, -0.5]","[-0.5, 0.09090909090909091, -0.5, 0.16666666666666666, -0.2, -0.2, 0.1111111111111111, 0.06666666666666667]","[64, 52, 28, 48, 48, 32, 52, -8]","[-8, 44, -8, 24, -20, -20, 36, 60]","[8, 16, 7, 12, -2, 13, 13, 12]","[15, 9, -5, -2, -2, 6, -5, 11]","[-2, 11, -2, 6, -5, -5, 9, -2]","[8, 9, -5, -2, -2, 6, -5, 11]","[2, 15, 2, 10, -1, -1, 13, 2]","[-8, 44, -8, 24, -20, -20, 36, -8]","[-0.5, 0.07692307692307693, -0.5, 0.08333333333333333, -0.2, -0.2, 0.07692307692307693, -0.5]","[-2, 11, -2, 6, -5, -5, 4, 9, -2]","[11, -2, 6, -5, -5, 9, -2]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
1275,"[1, 4]","[-5, 2]","[5, 8]","[-1, 6]",[1],[-5],"[4, 1, 4]","[4, -5, 2]","[1.0, 0.25]","[-0.2, 0.5]","[4, 16]","[-20, 8]","[4, 1]","[2, -5]","[-5, 2]","[2, -5]","[-1, 6]","[-20, 8]","[-0.2, 0.25]","[4, -5, 2]",[-5],No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
1276,"[6, -5, -1, 7, -14, -2, -10, -7, 6]","[-10, 3, -10, -11, -1, 0, -9, 1, -12]","[10, -1, 3, 11, -10, 2, -6, -3, 10]","[-6, 7, -6, -7, 3, 4, -5, 5, -8]","[6, -5, -1, 7, -14, -10, -7, 6]","[-10, 3, -10, -11, -1, -9, 1, -12]","[6, -5, -1, 7, -14, 4, -2, -10, -7, 6]","[-10, 3, -10, -11, -1, 4, 0, -9, 1, -12]","[0.16666666666666666, -0.2, -1.0, 0.14285714285714285, -0.07142857142857142, -0.5, -0.1, -0.14285714285714285, 0.16666666666666666]","[-0.1, 0.3333333333333333, -0.1, -0.09090909090909091, -1.0, 'ZeroDivisionError', -0.1111111111111111, 1.0, -0.08333333333333333]","[24, -20, -4, 28, -56, -8, -40, -28, 24]","[-40, 12, -40, -44, -4, 0, -36, 4, -48]","[-1, -2, -10, -7, 6, -14, 6, 7, -5]","[-1, -12, -11, -10, 3, -9, -10, 0, 1]","[-10, -5, -10, -11, -14, -2, -10, -7, -12]","[-1, -12, -11, -10, 3, -14, -10, 0, -5]","[-6, -1, -6, -7, -10, 2, -6, -3, -8]","[-40, -20, -40, -44, -56, -8, -40, -28, -48]",error,"[-10, -5, -10, -11, -14, 4, -2, -10, -7, -12]","[-10, -5, -10, -11, -14, -10, -7, -12]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
1277,"[-14, 17, 4, 17]","[14, 0, -8, -14]","[-10, 21, 8, 21]","[18, 4, -4, -10]","[-14, 17, 17]","[14, 0, -14]","[-14, 17, 4, 4, 17]","[14, 0, 4, -8, -14]","[-0.07142857142857142, 0.058823529411764705, 0.25, 0.058823529411764705]","[0.07142857142857142, 'ZeroDivisionError', -0.125, -0.07142857142857142]","[-56, 68, 16, 68]","[56, 0, -32, -56]","[4, -14, 17, 17]","[0, -14, -8, 14]","[-14, 0, -8, -14]","[0, -14, -8, 14]","[-10, 4, -4, -10]","[-56, 0, -32, -56]",error,"[-14, 0, 4, -8, -14]","[-14, 0, -14]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
